id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa
77394,SRI-2008-1-243-368.2,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/1/2008 Fighting kills 13 in Sri Lanka: military,defence ministry,3,Vavuniya district,Vavuniya district,Northern province,Vavuniya district,8.8786,80.498,POINT (80.498 8.8786),142361,Sri Lanka,LKA,780,Asia,1,1,5/31/2008,5/31/2008,1,2,0,0,3,3,3,780
75195,SRI-2008-1-243-368.1,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/1/2008 Fighting kills 13 in Sri Lanka: military,defence ministry,3,Jaffna district,Jaffna district,Northern province,Jaffna district,9.75,80.083333,POINT (80.083333 9.75),143801,Sri Lanka,LKA,780,Asia,1,1,5/31/2008,5/31/2008,1,3,0,0,4,4,4,780
75246,SRI-2008-1-243-369.2,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/2/2008 Sri Lanka battles kill 20: military,defence ministry,1,Jaffna town,Jaffna town,Northern province,Jaffna district,9.6567,80.0137,POINT (80.0137 9.6567),143801,Sri Lanka,LKA,780,Asia,1,1,6/1/2008,6/1/2008,0,5,0,0,5,5,5,780
77395,SRI-2008-1-243-369.1,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/2/2008 Sri Lanka battles kill 20: military,defence ministry,3,Vavuniya district,Vavuniya district,Northern province,Vavuniya district,8.8786,80.498,POINT (80.498 8.8786),142361,Sri Lanka,LKA,780,Asia,1,1,6/1/2008,6/1/2008,1,4,0,0,5,5,5,780
76005,SRI-2008-1-243-369.4,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/2/2008 Sri Lanka battles kill 20: military,defence ministry,3,Mannar district,Mannar district,Northern province,Mannar district,8.866667,80.083333,POINT (80.083333 8.866667),142361,Sri Lanka,LKA,780,Asia,1,1,6/1/2008,6/1/2008,0,4,0,0,4,4,4,780
75821,SRI-2008-1-243-369.3,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/2/2008 Sri Lanka battles kill 20: military,defence ministry,2,Manal Aru stream,Manal Aru stream (area),Northern province,Mullaittivu district,9.116667,80.8,POINT (80.8 9.116667),143082,Sri Lanka,LKA,780,Asia,1,1,6/1/2008,6/1/2008,0,4,0,0,4,4,4,780
75655,SRI-2008-1-243-370.3,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Koyilkunchukkulam locality,Koyilkunchukkulam locality (area),Northern province,Vavuniya district,8.95,80.383333,POINT (80.383333 8.95),142361,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,3,0,0,3,3,3,780
76454,SRI-2008-1-243-370.5,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Nedunkandal locality,Nedunkandal locality (area),Northern province,Mannar district,8.94295,80.0064,POINT (80.0064 8.94295),142361,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,3,0,0,3,3,3,780
76430,SRI-2008-1-243-370.1,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Navatkulam locality,Navatkulam locality (area),Northern province,Vavuniya district,8.8646,80.5352,POINT (80.5352 8.8646),142362,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,4,0,0,4,4,4,780
75281,SRI-2008-1-243-371,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Janakapura village,Janakapura village (near),Northern province,Mullaittivu district,9.040104,80.856352,POINT (80.856352 9.040104),143082,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,1,0,0,1,1,1,780
77187,SRI-2008-1-243-370.4,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Udaiyadi locality,Udaiyadi locality (area),Northern province,Mannar district,8.8833,80.0333,POINT (80.0333 8.8833),142361,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,3,0,0,3,3,3,780
76785,SRI-2008-1-243-370.2,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/4/2008 Sri Lanka troops kill 17 Tamil Tigers 3 June - army,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 04 Jun 08",2,Periyamadhu town,Periyamadhu town (area),Northern province,Mannar district,8.983333,80.166667,POINT (80.166667 8.983333),142361,Sri Lanka,LKA,780,Asia,1,1,6/3/2008,6/3/2008,0,3,0,0,3,3,3,780
73416,SRI-2008-1-243-372,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Reuters 6/5/2008 Fresh fighting in Sri Lanka kills dozens -military,,4,Northern province,Northern province,Northern province,Unknown,9.16667,80.41667,POINT (80.41667 9.16667),143081,Sri Lanka,LKA,780,Asia,1,1,6/4/2008,6/4/2008,0,39,0,0,39,39,39,780
77464,SRI-2008-1-243-373,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/5/2008 Tamil Tigers say 10 govt soldiers killed in fighting,LTTE website,2,Vavuniya town,Vavuniya town (near),Northern province,Vavuniya district,8.7514,80.4971,POINT (80.4971 8.7514),142361,Sri Lanka,LKA,780,Asia,1,1,6/5/2008,6/5/2008,10,0,0,0,10,10,10,780
76844,SRI-2008-1-243-374,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/7/2008 Sri Lanka reports 13 rebel deaths in fighting,military,1,Pooneryn town,Pooneryn town,Northern province,Kilinochchi district,9.5,80.2,POINT (80.2 9.5),143801,Sri Lanka,LKA,780,Asia,1,1,6/6/2008,6/6/2008,0,13,0,0,13,13,13,780
77373,SRI-2008-1-243-376.3,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/8/2008 28 rebels dead in Sri Lanka clashes: military,defence ministry,3,Vavuniya district,Vavuniya district,Northern province,Vavuniya district,8.8786,80.498,POINT (80.498 8.8786),142361,Sri Lanka,LKA,780,Asia,1,1,6/7/2008,6/7/2008,0,7,0,0,7,7,7,780
72760,SRI-2008-1-243-376.1,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/8/2008 28 rebels dead in Sri Lanka clashes: military,defence ministry,3,Jaffna district,Jaffna district,Northern province,Jaffna district,9.75,80.083333,POINT (80.083333 9.75),143801,Sri Lanka,LKA,780,Asia,1,1,6/7/2008,6/7/2008,1,7,0,0,8,8,8,780
76451,SRI-2008-1-243-375,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/8/2008 Tamil Tigers kill four soldiers in north Sri Lanka - TamilNet,LTTE website,2,Navvi locality,"Navvi locality (Kugnchukku'lam, near)",Northern province,Vavuniya district,8.933333,80.4,POINT (80.4 8.933333),142361,Sri Lanka,LKA,780,Asia,1,1,6/7/2008,6/7/2008,0,0,0,0,0,4,0,780
75822,SRI-2008-1-243-376.2,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/8/2008 28 rebels dead in Sri Lanka clashes: military,defence ministry,2,Manal Aru stream,Manal Aru stream (area),Northern province,Mullaittivu district,9.116667,80.8,POINT (80.8 9.116667),143082,Sri Lanka,LKA,780,Asia,1,1,6/7/2008,6/7/2008,0,7,0,0,7,7,7,780
76006,SRI-2008-1-243-376.4,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/8/2008 28 rebels dead in Sri Lanka clashes: military,defence ministry,3,Mannar district,Mannar district,Northern province,Mannar district,8.866667,80.083333,POINT (80.083333 8.866667),142361,Sri Lanka,LKA,780,Asia,1,1,6/7/2008,6/7/2008,0,7,0,0,7,7,7,780
76008,SRI-2008-1-243-377,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/10/2008 Sri Lanka clashes see 42 army casualties in two days - TamilNet,LTTE website,3,Mannar district,Mannar district,Northern province,Mannar district,8.866667,80.083333,POINT (80.083333 8.866667),142361,Sri Lanka,LKA,780,Asia,2,2,6/8/2008,6/9/2008,0,0,0,0,0,25,0,780
77396,SRI-2008-1-243-379,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/12/2008 Sri Lanka jets bomb Tiger weapons stock: military,defence ministry,3,Vavuniya district,Vavuniya district,Northern province,Vavuniya district,8.8786,80.498,POINT (80.498 8.8786),142361,Sri Lanka,LKA,780,Asia,1,1,6/9/2008,6/9/2008,2,13,0,0,15,15,15,780
74444,SRI-2008-1-243-378,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Xinhua 6/9/2008 Fierce battle kills 11 in northern Sri Lanka,Officials from the Ministry of Defense,2,Alankulam locality,Alankulam locality (area),Northern province,Mannar district,8.9,80.033333,POINT (80.033333 8.9),142361,Sri Lanka,LKA,780,Asia,1,1,6/9/2008,6/9/2008,2,9,0,0,11,25,11,780
74985,SRI-2008-1-243-380,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,"Agence France-Presse (AFP) 6/11/2008 Tamil Tigers attack Sri Lanka navy post, kill 10: rebels",LTTE website and navy spokesman,1,Erukkilampiddi  town,Erukkilampiddi  town,Northern province,Mannar district,9.033333,79.866667,POINT (79.866667 9.033333),143080,Sri Lanka,LKA,780,Asia,1,1,6/11/2008,6/11/2008,3,4,0,0,7,14,7,780
77397,SRI-2008-1-243-381,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/13/2008 Violence claims 17 in Sri Lanka: military,defence ministry,3,Vavuniya district,Vavuniya district,Northern province,Vavuniya district,8.8786,80.498,POINT (80.498 8.8786),142361,Sri Lanka,LKA,780,Asia,1,1,6/12/2008,6/12/2008,2,11,0,0,13,13,13,780
77442,SRI-2008-1-243-382,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/13/2008 Violence claims 17 in Sri Lanka: military,defence ministry,1,Vavuniya town,Vavuniya town,Northern province,Vavuniya district,8.7514,80.4971,POINT (80.4971 8.7514),142361,Sri Lanka,LKA,780,Asia,1,1,6/13/2008,6/13/2008,2,0,0,0,2,2,2,780
76391,SRI-2008-1-243-383,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/14/2008 Army continues to attack Tigers' bunker defences in north Sri Lanka - website,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 14 Jun 08",1,Nagarkovil town,Nagarkovil town,Northern province,Jaffna district,9.7008,80.3093,POINT (80.3093 9.7008),143801,Sri Lanka,LKA,780,Asia,1,1,6/13/2008,6/13/2008,0,2,0,0,2,2,2,780
76009,SRI-2008-1-243-384,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/15/2008 Sri Lanka says 17 dead as troops take rebel territory,defence ministry,3,Mannar district,Mannar district,Northern province,Mannar district,8.866667,80.083333,POINT (80.083333 8.866667),142361,Sri Lanka,LKA,780,Asia,1,1,6/14/2008,6/14/2008,2,12,0,0,14,14,14,780
75823,SRI-2008-1-243-385,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,Agence France-Presse (AFP) 6/15/2008 Sri Lanka says 17 dead as troops take rebel territory,defence ministry,2,Manal Aru stream,Manal Aru stream (area),Northern province,Mullaittivu district,9.116667,80.8,POINT (80.8 9.116667),143082,Sri Lanka,LKA,780,Asia,1,1,6/14/2008,6/14/2008,0,3,0,0,3,3,3,780
76030,SRI-2008-1-243-387,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/16/2008 Eight Tamil Tigers killed in north Sri Lanka clashes,defence ministry,3,Mannar district,"Mannar district (Kaddupulan locality, in)",Northern province,Mannar district,8.866667,80.083333,POINT (80.083333 8.866667),142361,Sri Lanka,LKA,780,Asia,1,1,6/15/2008,6/15/2008,0,4,0,0,4,4,4,780
76457,SRI-2008-1-243-388,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,BBC 6/16/2008 Eight Tamil Tigers killed in north Sri Lanka clashes,"Source: Sri Lanka Ministry of Defence, Public Security, Law and Order website in English 15 Jun 08",2,Nedunkandal locality,Nedunkandal locality (area),Northern province,Mannar district,8.94295,80.0064,POINT (80.0064 8.94295),142361,Sri Lanka,LKA,780,Asia,1,1,6/15/2008,6/15/2008,0,4,0,0,4,4,4,780
72096,SRI-2008-1-243-386,2008,1,Clear,1,352,352,Sri Lanka (Ceylon): Eelam,776,776,Government of Sri Lanka - LTTE,145,145,Government of Sri Lanka,320,320,LTTE,-1,"Agence France-Presse (AFP) 6/15/2008 Sri Lanka says Tiger base hit, 24 dead in clashes",defence ministry,3,Batticaloa district,Batticaloa district,Eastern province,Batticaloa district,7.75,81.4997,POINT (81.4997 7.75),140923,Sri Lanka,LKA,780,Asia,1,1,6/15/2008,6/15/2008,3,0,0,0,3,3,3,780
